,Date,Package Name,Store Listing Visitors,Acquisition Channel,Installers,Visitor-to-Installer conversion rate,Installers retained for 1 day,Installer-to-1 day retention rate,Installers retained for 7 days,Installer-to-7 days retention rate,Installers retained for 15 days,Installer-to-15 days retention rate,Installers retained for 30 days,Installer-to-30 days retention rate,Week Day,Dolar Price
252,2019-10-14 00:00:00,B4 Bank,4152,Organic,382,0.092,340,0.89,323,0.846,314,0.822,303,0.793,Segunda-Feira,4.115220741546551
256,2019-10-15 00:00:00,B4 Bank,3148,Organic,319,0.101,283,0.887,268,0.84,263,0.824,256,0.803,Terça-Feira,4.130734986826565
259,2019-10-16 00:00:00,B4 Bank,6149,Organic,618,0.101,571,0.924,545,0.882,537,0.869,527,0.853,Quarta-Feira,4.174512471655329
263,2019-10-17 00:00:00,B4 Bank,4388,Organic,511,0.116,454,0.888,439,0.859,428,0.838,416,0.814,Quinta-Feira,4.159992801223792
266,2019-10-18 00:00:00,B4 Bank,3677,Organic,505,0.137,459,0.909,443,0.877,434,0.859,417,0.826,Sexta-Feira,4.160355348169419
270,2019-10-19 00:00:00,B4 Bank,3352,Organic,472,0.141,417,0.883,400,0.847,393,0.833,379,0.803,Sábado,4.160355348169419
274,2019-10-20 00:00:00,B4 Bank,3339,Organic,474,0.142,438,0.924,417,0.88,407,0.859,402,0.848,Domingo,4.160355348169419
277,2019-10-21 00:00:00,B4 Bank,1811,Organic,245,0.135,220,0.898,197,0.804,188,0.767,180,0.735,Segunda-Feira,4.1223485187505595
281,2019-10-22 00:00:00,B4 Bank,1609,Organic,209,0.13,181,0.866,176,0.842,168,0.804,163,0.78,Terça-Feira,4.123989218328841
285,2019-10-23 00:00:00,B4 Bank,2477,Organic,423,0.171,382,0.903,361,0.853,350,0.827,331,0.783,Quarta-Feira,4.086936977434145
289,2019-10-24 00:00:00,B4 Bank,2570,Organic,474,0.184,430,0.907,414,0.873,402,0.848,393,0.829,Quinta-Feira,4.035585909417685
293,2019-10-25 00:00:00,B4 Bank,2348,Organic,431,0.184,378,0.877,352,0.817,339,0.787,331,0.768,Sexta-Feira,4.027370126946971
297,2019-10-26 00:00:00,B4 Bank,2125,Organic,385,0.181,338,0.878,314,0.816,305,0.792,296,0.769,Sábado,4.027370126946971
301,2019-10-27 00:00:00,B4 Bank,2069,Organic,413,0.2,376,0.91,366,0.886,357,0.864,348,0.843,Domingo,4.027370126946971
305,2019-10-28 00:00:00,B4 Bank,1532,Organic,270,0.176,240,0.889,220,0.815,208,0.77,195,0.722,Segunda-Feira,3.9828628123026966
309,2019-10-29 00:00:00,B4 Bank,1326,Organic,258,0.195,207,0.802,193,0.748,184,0.713,175,0.678,Terça-Feira,3.992789544840018
313,2019-10-30 00:00:00,B4 Bank,2457,Organic,545,0.222,437,0.802,402,0.738,386,0.708,374,0.686,Quarta-Feira,4.016837745362867
